username,section,inperson_reason,remote_reason,modality_preference,class_standing,gender,race
377,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.;I want to attend in person but wang the option to stufy online if i cant make it in person",,remote,4th Year (Undergrad),Male,Other
378,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
379,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
380,CSE 100 (in-person),None of the above,,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
381,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.;I am concerned for my health during the ongoing COVID-19 pandemic.",remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
382,CSE 100R (remote),,I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am concerned for my health during the ongoing COVID-19 pandemic.,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
383,CSE 100R (remote),,I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;The in-person section was full.,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
384,CSE 100R (remote),,The in-person section was full.,no preference,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
385,CSE 100 (in-person),None of the above,,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
386,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,no preference,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
387,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
388,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,in-person,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
389,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,3rd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
390,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,4th Year (Undergrad),Male,"Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
391,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,Masters/PhD Student,Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
392,CSE 100 (in-person),I didn't even know there was a remote option,,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
393,CSE 100R (remote),,The in-person section was full.,no preference,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
394,CSE 100R (remote),,I watch the podcasts cause I can rewind. I can't rewind in person unfortunately.,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
395,CSE 100R (remote),,It is easier for me to learn in a remote setting.;The in-person section was full.,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
396,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,in-person,3rd Year (Undergrad),Non-binary,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
397,CSE 100 (in-person),Didn't know there was a distinction ,,no preference,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
398,CSE 100R (remote),,The in-person section was full.,in-person,5th+ Year (Undergrad),Male,"Black or African American (e.g. African American, Jamaican, Haitian, Ethiopian)"
399,CSE 100 (in-person),"I prefer to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,no preference,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
400,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
401,CSE 100R (remote),,The in-person section was full.,no preference,4th Year (Undergrad),Female,"Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
